Director,PA,BB,AB,OUTS,H,1B,2B,3B,HR,BA,OBP,SLG,OPS,WAR,WAR/PA,Scaled WAR,Scaled WAR/PA,Average Composite Score,Bucket,Composite Score+,Standard Deviation,Coefficient of Variation,Adjusted StDev,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Best Top 2 Overall Score,Out Rate,BB Rate,1B Rate,2B Rate,3B Rate,HR Rate,XBH,XBH Rate,Eligible,Career_Value,Rate_Quality,Peak,Profile,Strength
Bryan Singer,11,1,10,5,5,3,1,1,0,0.5,0.545,0.8,1.345,48.9,4.45,4.93,0.45,59.45,BB,108.3,17.1,0.287,16.7,69.8,The Usual Suspects → Apt Pupil,69.2,The Usual Suspects → Apt Pupil → X-Men,64.4,The Usual Suspects → Apt Pupil → X-Men → X2: X-Men United → Superman Returns,89.2,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,2,0.18181818181818182,True,0.347747227737793,0.06440901020530787,-0.07519286977834569,-0.012476058518015963,0.09913299172447525
Byron Howard,5,1,4,0,4,2,2,0,0,1.0,1.0,1.5,2.5,105.0,21.0,10.59,2.12,76.0,1B,144.5,9.3,0.12210000000000001,12.5,84.4,Tangled → Zootopia,80.0,Tangled → Zootopia → Encanto,76.0,Bolt → Tangled → Zootopia → Encanto → Zootopia 2,86.7,0.0,0.2,0.4,0.4,0.0,0.0,2,0.4,True,0.6404407598114377,1.2744131872293585,0.5845381195504282,1.417070976259656,0.9402842498903091
Cameron Crowe,8,2,6,3,3,2,1,0,0,0.5,0.625,0.667,1.292,3.8,0.47,0.38,0.05,55.48,BB,98.8,21.6,0.3893,19.4,77.5,Jerry Maguire → Almost Famous,71.2,Jerry Maguire → Almost Famous → Vanilla Sky,67.3,Say Anything → Singles → Jerry Maguire → Almost Famous → Vanilla Sky,87.3,0.375,0.25,0.25,0.125,0.0,0.0,1,0.125,True,-0.10633089318534882,-0.22657688855938835,0.055443278813431876,-0.05588714147495572,-0.08586009868708491
Carl Theodor Dreyer,14,4,10,4,6,3,0,2,1,0.6,0.714,1.3,2.014,167.3,11.95,16.87,1.2,66.95,1B,115.7,16.3,0.24350000000000002,16.2,84.5,Ordet → Gertrud,86.2,The Passion of Joan of Arc → Vampyr → Day of Wrath,81.8,The Passion of Joan of Arc → Vampyr → Day of Wrath → Two People → Ordet,94.8,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.0,0.14285714285714285,0.07142857142857142,3,0.21428571428571427,True,0.8819530381039548,0.6127492716965693,1.0429602677496772,0.6321890906099643,0.8049511144147409
Carlos Saldanha,9,1,8,7,1,1,0,0,0,0.125,0.222,0.125,0.347,-88.7,-9.86,-8.94,-0.99,45.14,OUT,84.1,17.2,0.38130000000000003,16.7,60.5,Ice Age → Robots,57.2,Ice Age → Robots → Ice Age: The Meltdown,56.9,Ice Age → Robots → Ice Age: The Meltdown → Ice Age: Dawn of the Dinosaurs → Rio,71.1,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0,0.0,True,-1.1273292176627632,-0.9818242087200194,-0.8673225470129078,-1.192549734215927,-1.0389954010752462
Carol Reed,18,6,12,5,7,6,0,1,0,0.583,0.722,0.75,1.472,130.3,7.24,13.14,0.73,62.24,BB,98.5,11.7,0.18760000000000002,12.6,84.3,The Fallen Idol → The Third Man,82.6,Odd Man Out → The Fallen Idol → The Third Man,74.4,Night Train to Munich → The Way Ahead → Odd Man Out → The Fallen Idol → The Third Man,91.7,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.0,0.05555555555555555,0.0,1,0.05555555555555555,True,0.7453839062717558,0.2683915874800572,0.6622829357518565,0.17180989265502636,0.4906457812205104
Cate Shortland,4,2,2,1,1,1,0,0,0,0.5,0.75,0.5,1.25,25.4,6.35,2.56,0.64,61.35,BB,114.1,9.4,0.154,13.0,68.8,Somersault → Lore,63.1,Somersault → Lore → Berlin Syndrome,,,73.0,0.25,0.5,0.25,0.0,0.0,0.0,0,0.0,True,0.17211986401252122,0.2033218764497608,-0.6176815322558262,-0.09028837702573825,-0.07001163015290764
Cecil B. DeMille,30,7,23,21,2,1,1,0,0,0.087,0.3,0.13,0.43,-88.1,-2.94,-8.88,-0.3,52.06,OUT,91.6,8.5,0.16399999999999998,9.6,64.7,The King of Kings → The Godless Girl,61.5,The King of Kings → The Godless Girl → Dynamite,58.1,The King of Kings → The Godless Girl → Dynamite → Madam Satan → The Sign of the Cross,81.8,0.7,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.0,0.0,1,0.03333333333333333,True,-1.1244838972381823,-0.4758889274507486,-0.5846983944394482,-1.1613133324932532,-0.8347546661426546
Celine Sciamma,5,1,4,0,4,2,1,0,1,1.0,1.0,2.0,3.0,117.8,23.56,11.88,2.38,78.56,1B,147.5,12.2,0.15539999999999998,14.0,89.5,Portrait of a Lady on Fire → Petite Maman,83.7,Girlhood → Portrait of a Lady on Fire → Petite Maman,78.6,Water Lilies → Tomboy → Girlhood → Portrait of a Lady on Fire → Petite Maman,94.0,0.0,0.2,0.4,0.2,0.0,0.2,2,0.4,True,0.6949412595634329,1.4615799964850424,0.8576997883255504,1.8266094947213523,1.1536242230159486
Chloe Zhao,5,0,5,1,4,2,2,0,0,0.8,0.8,1.2,2.0,80.9,16.18,8.16,1.63,71.18,1B,134.7,17.6,0.2469,16.7,80.0,The Rider → Nomadland,75.7,Songs My Brothers Taught Me → The Rider → Nomadland,71.2,Songs My Brothers Taught Me → The Rider → Nomadland → Eternals → Hamnet,86.4,0.2,0.0,0.4,0.4,0.0,0.0,2,0.4,True,0.5278620129296142,0.922013179177641,0.3012315153287354,0.8141272349454984,0.6269952244945781
