Rank,Director,Eligible,Strength,Expected Wins,Expected Win %,PA,WAR,Scaled WAR,WAR/PA,Scaled WAR/PA,BA,OBP,SLG,OPS,HR,3B,2B,1B,BB,OUTS,Out Rate,BB Rate,HR Rate,XBH,XBH Rate,Best Top 2 Overall Score,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Career_Value,Rate_Quality,Peak,Profile
60,Elia Kazan,True,0.919287,240.753951,0.68396,18,252.1,25.42,14.01,1.41,0.765,0.778,1.235,2.013,0,3,2,8,1,4,0.222222,0.055556,0.0,5,0.277778,93.0,86.2,On the Waterfront → East of Eden,81.6,A Face in the Crowd → Wild River → Splendor in the Grass,82.2,On the Waterfront → East of Eden → Baby Doll → A Face in the Crowd → Wild River,1.146519,0.76336,0.905222,0.790929
61,Richard Linklater,True,0.903885,239.728318,0.681046,24,314.3,31.69,13.1,1.32,0.762,0.792,1.19,1.982,0,3,3,10,3,5,0.208333,0.125,0.0,6,0.25,92.8,88.0,Before Midnight → Boyhood,83.5,Waking Life → School of Rock → Before Sunset,75.4,Bernie → Before Midnight → Boyhood → Everybody Wants Some!! → Last Flag Flying,1.312861,0.696828,0.73317,0.762637
62,Fred Zinnemann,True,0.886532,238.567803,0.677749,23,305.0,30.75,13.26,1.34,0.833,0.87,1.0,1.87,0,0,3,12,5,3,0.130435,0.217391,0.0,3,0.130435,88.2,82.8,Act of Violence → The Search,81.7,The Clock → Act of Violence → The Search,77.5,The Seventh Cross → The Clock → Act of Violence → The Search → The Men,1.289047,0.708526,0.699101,0.739559
63,Howard Hawks,True,0.878093,238.00153,0.676141,41,360.6,36.36,8.8,0.89,0.607,0.732,1.0,1.732,0,2,7,8,13,11,0.268293,0.317073,0.0,9,0.219512,91.7,86.9,Only Angels Have Wings → His Girl Friday,86.5,Bringing Up Baby → Only Angels Have Wings → His Girl Friday,84.1,Bringing Up Baby → Only Angels Have Wings → His Girl Friday → Ball of Fire → Sergeant York,1.426256,0.382446,1.092037,0.407979
64,Gillo Pontecorvo,True,0.877339,237.950856,0.675997,5,86.6,8.73,17.32,1.75,1.0,1.0,1.75,2.75,1,0,0,3,1,0,0.0,0.2,0.2,1,0.2,95.0,84.9,Kapo → The Battle of Algiers,79.4,Kapo → The Battle of Algiers → Burn!,72.3,La grande strada azzurra → Kapo → The Battle of Algiers → Burn! → Operation Ogre,0.555631,1.005361,0.539766,1.62184
65,Peter Weir,True,0.830858,234.809803,0.667073,14,196.8,19.84,14.06,1.42,0.833,0.857,1.167,2.024,0,1,2,7,2,2,0.142857,0.142857,0.0,3,0.214286,92.3,86.5,The Truman Show → Master and Commander: The Far Side of the World,81.4,Fearless → The Truman Show → Master and Commander: The Far Side of the World,76.0,Dead Poets Society → Green Card → Fearless → The Truman Show → Master and Commander: The Far Side of the World,0.980163,0.767016,0.687662,0.865697
66,Darren Aronofsky,True,0.812218,233.540219,0.663467,9,136.4,13.75,15.16,1.53,0.833,0.889,1.333,2.222,0,0,3,2,3,1,0.111111,0.333333,0.0,3,0.333333,87.8,87.1,The Wrestler → Black Swan,78.5,The Fountain → The Wrestler → Black Swan,79.1,Pi → Requiem for a Dream → The Fountain → The Wrestler → Black Swan,0.768934,0.847439,0.656412,1.027874
67,Bennett Miller,True,0.810386,233.415188,0.663111,3,66.1,6.66,22.03,2.22,1.0,1.0,1.333,2.333,0,0,1,2,0,0,0.0,0.0,0.0,1,0.333333,84.1,80.9,Capote → Moneyball,77.0,Capote → Moneyball → Foxcatcher,,,0.449761,1.349719,0.327886,1.280285
68,Carl Theodor Dreyer,True,0.804951,233.043786,0.662056,14,167.3,16.87,11.95,1.2,0.6,0.714,1.3,2.014,1,2,0,3,4,4,0.285714,0.285714,0.071429,3,0.214286,94.8,84.5,Ordet → Gertrud,86.2,The Passion of Joan of Arc → Vampyr → Day of Wrath,81.8,The Passion of Joan of Arc → Vampyr → Day of Wrath → Two People → Ordet,0.881953,0.612749,1.04296,0.632189
69,Jiao Zi,True,0.794282,232.313418,0.659981,2,46.4,4.68,23.2,2.34,1.0,1.0,1.5,2.5,0,0,1,1,0,0,0.0,0.0,0.0,1,0.5,85.0,78.2,Ne Zha → Ne Zha 2,,,,,0.331602,1.43526,0.210291,1.417071
70,Park Chan-wook,True,0.788252,231.899821,0.658806,14,161.2,16.25,11.51,1.16,0.75,0.786,1.333,2.119,0,2,3,4,2,3,0.214286,0.142857,0.0,5,0.357143,92.2,86.6,The Handmaiden → Decision to Leave,85.4,The Handmaiden → Decision to Leave → No Other Choice,77.5,Thirst → Stoker → The Handmaiden → Decision to Leave → No Other Choice,0.860386,0.58058,0.849369,0.863246
71,Ang Lee,True,0.769437,230.605729,0.65513,14,171.2,17.26,12.23,1.23,0.667,0.714,1.25,1.964,0,1,5,2,2,4,0.285714,0.142857,0.0,6,0.428571,89.7,85.0,Eat Drink Man Woman → Sense and Sensibility,84.4,The Wedding Banquet → Eat Drink Man Woman → Sense and Sensibility,79.1,"Eat Drink Man Woman → Sense and Sensibility → The Ice Storm → Ride with the Devil → Crouching Tiger, Hidden Dragon",0.895317,0.633221,0.845326,0.656026
72,Paul King,True,0.759888,229.946879,0.653258,4,66.8,6.74,16.7,1.68,1.0,1.0,1.5,2.5,0,0,1,1,2,0,0.0,0.5,0.0,1,0.25,88.9,83.6,Paddington → Paddington 2,76.5,Paddington → Paddington 2 → Wonka,,,0.454136,0.960031,0.4009,1.417071
73,Makoto Shinkai,True,0.743097,228.785153,0.649958,6,89.6,9.03,14.93,1.51,0.8,0.833,1.4,2.233,1,0,0,3,1,1,0.166667,0.166667,0.166667,1,0.166667,94.3,83.8,Your Name. → Weathering with You,81.5,Your Name. → Weathering with You → Suzume,74.2,5 Centimeters per Second → Children Who Chase Lost Voices → Your Name. → Weathering with You → Suzume,0.569882,0.830623,0.653929,1.004972
74,Sian Heder,True,0.730894,227.938286,0.647552,2,35.5,3.58,17.75,1.79,1.0,1.0,2.0,3.0,0,0,1,0,1,0,0.0,0.5,0.0,1,0.5,83.8,72.8,Tallulah → CODA,,,,,0.254812,1.036799,0.119717,1.826609
75,Edgar Wright,True,0.726934,227.662932,0.64677,8,112.5,11.34,14.06,1.42,0.714,0.75,1.143,1.893,0,0,3,2,1,2,0.25,0.125,0.0,3,0.375,86.9,85.6,Shaun of the Dead → Hot Fuzz,83.2,Shaun of the Dead → Hot Fuzz → Scott Pilgrim vs. the World,80.3,Shaun of the Dead → Hot Fuzz → Scott Pilgrim vs. the World → The World's End → Baby Driver,0.672506,0.767016,0.819053,0.643322
76,Guillermo del Toro,True,0.725046,227.531618,0.646397,13,173.8,17.52,13.37,1.35,0.75,0.846,1.25,2.096,1,0,1,4,5,2,0.153846,0.384615,0.076923,2,0.153846,94.3,81.3,Pan's Labyrinth → Hellboy II: The Golden Army,75.8,Pan's Labyrinth → Hellboy II: The Golden Army → Pacific Rim,72.1,Pan's Labyrinth → Hellboy II: The Golden Army → Pacific Rim → Crimson Peak → The Shape of Water,0.904143,0.716568,0.423117,0.844407
77,Woody Allen,True,0.723387,227.416175,0.646069,51,342.0,34.48,6.71,0.68,0.545,0.608,0.773,1.381,0,1,8,15,7,20,0.392157,0.137255,0.0,9,0.176471,89.0,87.1,Love and Death → Annie Hall,84.0,Broadway Danny Rose → The Purple Rose of Cairo → Hannah and Her Sisters,83.1,Zelig → Broadway Danny Rose → The Purple Rose of Cairo → Hannah and Her Sisters → Radio Days,1.381537,0.229642,0.957638,0.060527
78,Robert Eggers,True,0.722487,227.353575,0.645891,4,76.7,7.73,19.18,1.93,1.0,1.0,1.25,2.25,0,0,1,3,0,0,0.0,0.0,0.0,1,0.25,80.5,76.9,The Witch → The Lighthouse,75.4,The Witch → The Lighthouse → The Northman,,,0.506266,1.141349,0.171239,1.212302
79,Michelangelo Antonioni,True,0.715791,226.887169,0.644566,16,174.1,17.55,10.88,1.1,0.615,0.688,0.923,1.611,0,1,2,5,3,5,0.3125,0.1875,0.0,3,0.1875,90.1,87.2,L'Avventura → La Notte,85.6,L'Avventura → La Notte → L'Eclisse,82.3,Il Grido → L'Avventura → La Notte → L'Eclisse → Red Desert,0.905157,0.534519,0.989173,0.316606
80,Daniel Kwan & Daniel Scheinert,True,0.712757,226.67563,0.643965,2,39.8,4.01,19.9,2.01,1.0,1.0,1.5,2.5,0,0,1,1,0,0,0.0,0.0,0.0,1,0.5,84.6,74.9,Swiss Army Man → Everything Everywhere All at Once,,,,,0.286069,1.19399,0.180099,1.417071
81,James Gunn,True,0.712348,226.647079,0.643884,7,108.1,10.9,15.44,1.56,0.833,0.857,1.167,2.024,0,0,2,3,1,1,0.142857,0.142857,0.0,2,0.285714,85.1,80.1,Guardians of the Galaxy → Guardians of the Galaxy Vol. 2,77.0,Guardians of the Galaxy → Guardians of the Galaxy Vol. 2 → The Suicide Squad,76.7,Guardians of the Galaxy → Guardians of the Galaxy Vol. 2 → The Suicide Squad → Guardians of the Galaxy Vol. 3 → Superman,0.653828,0.86791,0.504331,0.865697
82,Roman Polanski,True,0.711624,226.596603,0.64374,23,208.2,20.99,9.05,0.91,0.647,0.739,1.176,1.916,1,2,2,6,6,6,0.26087,0.26087,0.043478,5,0.217391,94.2,86.1,Chinatown → The Tenant,82.9,Chinatown → The Tenant → Tess,75.9,Knife in the Water → Repulsion → Cul-de-sac → The Fearless Vampire Killers → Rosemary's Baby,1.016194,0.400724,0.748444,0.59737
83,John Lasseter,True,0.704045,226.067467,0.642237,5,79.9,8.06,15.98,1.61,0.75,0.8,1.5,2.3,0,1,1,1,1,1,0.2,0.2,0.0,2,0.4,91.8,79.1,Toy Story 2 → Cars,79.8,Toy Story → A Bug's Life → Toy Story 2,71.0,Toy Story → A Bug's Life → Toy Story 2 → Cars → Cars 2,0.522891,0.907391,0.472121,1.011499
84,Sean Baker,True,0.703336,226.017956,0.642096,8,117.6,11.86,14.7,1.48,0.875,0.875,1.0,1.875,0,0,1,6,0,1,0.125,0.0,0.0,1,0.125,85.0,80.9,Tangerine → The Florida Project,78.5,The Florida Project → Red Rocket → Anora,76.5,Starlet → Tangerine → The Florida Project → Red Rocket → Anora,0.69412,0.813807,0.539179,0.78427
85,Andrew Stanton,True,0.685728,224.785412,0.638595,6,76.2,7.68,12.7,1.28,0.667,0.667,1.5,2.167,1,1,0,2,0,2,0.333333,0.0,0.166667,2,0.333333,94.5,92.9,Finding Nemo → WALL-E,86.1,A Bug's Life → Finding Nemo → WALL-E,75.0,A Bug's Life → Finding Nemo → WALL-E → John Carter → Finding Dory,0.503716,0.667583,0.813029,0.822299
86,Taika Waititi,True,0.675615,224.075677,0.636579,8,110.0,11.09,13.75,1.39,0.625,0.625,1.0,1.625,0,0,3,2,0,3,0.375,0.0,0.0,3,0.375,87.0,85.2,What We Do in the Shadows → Hunt for the Wilderpeople,83.7,What We Do in the Shadows → Hunt for the Wilderpeople → Thor: Ragnorok,82.1,Boy → What We Do in the Shadows → Hunt for the Wilderpeople → Thor: Ragnorok → Jojo Rabbit,0.661939,0.744351,0.893586,0.337744
87,Frank Capra,True,0.67372,223.942575,0.6362,33,234.6,23.65,7.11,0.72,0.481,0.576,0.815,1.391,1,1,4,7,6,14,0.424242,0.181818,0.030303,6,0.181818,95.0,90.8,Arsenic and Old Lace → It's a Wonderful Life,84.5,It Happened One Night → Mr. Deeds Goes to Town → Lost Horizon,85.4,It Happened One Night → Mr. Deeds Goes to Town → Lost Horizon → You Can't Take It with You → Mr. Smith Goes to Washington,1.095929,0.258887,1.115418,0.006828
88,Francis Ford Coppola,True,0.670853,223.741044,0.635628,23,113.7,11.46,4.94,0.5,0.5,0.609,1.111,1.72,3,1,0,5,5,9,0.391304,0.217391,0.130435,4,0.173913,99.1,95.0,The Godfather Part II → Apocalypse Now,94.5,The Godfather → The Conversation → The Godfather Part II,88.1,The Rain People → The Godfather → The Conversation → The Godfather Part II → Apocalypse Now,0.677537,0.100234,1.534393,0.294678
89,Ryusuke Hamaguchi,True,0.670171,223.693085,0.635492,11,133.9,13.5,12.17,1.23,0.667,0.727,1.0,1.727,0,0,3,3,2,3,0.272727,0.181818,0.0,3,0.272727,88.8,84.9,Wheel of Fortune and Fantasy → Drive My Car,81.1,Happy Hour → Asako I & II → Wheel of Fortune and Fantasy,80.0,Happy Hour → Asako I & II → Wheel of Fortune and Fantasy → Drive My Car → Evil Does Not Exist,0.759347,0.628834,0.771111,0.461905
90,Mamoru Hosoda,True,0.665757,223.382543,0.634609,9,112.1,11.3,12.46,1.26,0.714,0.778,1.0,1.778,0,1,0,4,2,2,0.222222,0.222222,0.0,1,0.111111,90.0,84.6,Wolf Children → The Boy and the Beast,81.0,The Girl Who Leapt Through Time → Summer Wars → Wolf Children,79.6,One Piece: Baron Omatsuri and the Secret Island → The Girl Who Leapt Through Time → Summer Wars → Wolf Children → The Boy and the Beast,0.670823,0.650036,0.768701,0.549128
91,Clint Eastwood,True,0.654795,222.610261,0.632416,40,280.1,28.24,7.0,0.71,0.543,0.6,0.771,1.371,0,1,6,12,5,16,0.4,0.125,0.0,7,0.175,91.4,87.1,Mystic River → Million Dollar Baby,83.3,Unforgiven → A Perfect World → The Bridges of Madison County,79.9,Mystic River → Million Dollar Baby → Flags of Our Fathers → Letters from Iwo Jima → Changeling,1.223611,0.250845,0.85968,0.050402
92,Jordan Peele,True,0.65343,222.513979,0.632142,3,52.5,5.29,17.5,1.76,1.0,1.0,1.333,2.333,0,0,1,2,0,0,0.0,0.0,0.0,1,0.333333,85.6,76.0,Get Out → Us,72.5,Get Out → Us → Nope,,,0.370294,1.018521,0.126617,1.280285
93,John Ford,True,0.646828,222.048022,0.630818,74,315.3,31.79,4.26,0.43,0.452,0.541,0.613,1.153,0,2,6,20,12,34,0.459459,0.162162,0.0,8,0.108108,93.4,88.2,Young Mr. Lincoln → The Grapes of Wrath,87.9,Stagecoach → Young Mr. Lincoln → The Grapes of Wrath,83.5,Stagecoach → Young Mr. Lincoln → The Grapes of Wrath → The Long Voyage Home → How Green Was My Valley,1.315374,0.050518,1.131269,-0.216156
94,Sam Mendes,True,0.646537,222.027478,0.63076,9,133.5,13.46,14.83,1.5,0.714,0.778,1.143,1.921,0,0,3,2,2,2,0.222222,0.222222,0.0,3,0.333333,88.6,83.2,American Beauty → Road to Perdition,75.5,American Beauty → Road to Perdition → Jarhead,71.2,American Beauty → Road to Perdition → Jarhead → Revolutionary Road → Away We Go,0.757805,0.823312,0.320465,0.666256
95,Greta Gerwig,True,0.64625,222.007259,0.630702,4,64.3,6.48,16.08,1.62,0.75,0.75,1.25,2.0,0,0,2,1,0,1,0.25,0.0,0.0,2,0.5,88.4,85.3,Lady Bird → Little Women,79.2,Lady Bird → Little Women → Barbie,,,0.43982,0.914702,0.529895,0.765776
96,Matt Reeves,True,0.642303,221.728351,0.62991,6,73.0,7.36,12.17,1.23,0.8,0.833,1.4,2.233,0,0,3,1,1,1,0.166667,0.166667,0.0,3,0.5,82.0,81.2,War for the Planet of the Apes → The Batman,81.3,Dawn of the Planet of the Apes  → War for the Planet of the Apes → The Batman,75.5,Cloverfield → Let Me In → Dawn of the Planet of the Apes  → War for the Planet of the Apes → The Batman,0.487197,0.628834,0.551763,1.004972
97,Michael Haneke,True,0.637019,221.354742,0.628849,17,198.6,20.02,11.68,1.18,0.643,0.706,1.0,1.706,0,1,3,5,3,5,0.294118,0.176471,0.0,4,0.235294,89.0,88.4,The White Ribbon → Amour,77.4,Funny Games → The White Ribbon → Amour,72.9,Cache → Funny Games → The White Ribbon → Amour → Happy End,0.98587,0.593009,0.434827,0.421495
98,Safdie Brothers,True,0.636615,221.326144,0.628767,4,71.4,7.2,17.85,1.8,1.0,1.0,1.0,2.0,0,0,0,4,0,0,0.0,0.0,0.0,0,0.0,79.6,78.9,Good Time → Uncut Gems,74.8,Heaven Knows What → Good Time → Uncut Gems,,,0.478803,1.04411,0.12176,1.007532
99,Jeff Nichols,True,0.630951,220.925244,0.627629,6,87.5,8.82,14.58,1.47,1.0,1.0,1.0,2.0,0,0,0,4,2,0,0.0,0.333333,0.0,0,0.0,78.9,78.0,Take Shelter → Mud,76.1,Shotgun Stories → Take Shelter → Mud,71.6,Shotgun Stories → Take Shelter → Mud → Midnight Special → Loving,0.559931,0.805034,0.240827,1.007532
100,John Musker,True,0.630874,220.919809,0.627613,8,101.3,10.21,12.66,1.28,0.857,0.875,1.0,1.875,0,0,1,5,1,1,0.125,0.125,0.0,1,0.125,85.8,80.3,The Little Mermaid → Aladdin,77.5,The Little Mermaid → Aladdin → Hercules,75.8,The Little Mermaid → Aladdin → Hercules → Treasure Planet → The Princess and the Frog,0.62376,0.664659,0.496836,0.766863
101,Ron Clements,True,0.630874,220.919809,0.627613,8,101.3,10.21,12.66,1.28,0.857,0.875,1.0,1.875,0,0,1,5,1,1,0.125,0.125,0.0,1,0.125,85.8,80.3,The Little Mermaid → Aladdin,77.5,The Little Mermaid → Aladdin → Hercules,75.8,The Little Mermaid → Aladdin → Hercules → Treasure Planet → The Princess and the Frog,0.62376,0.664659,0.496836,0.766863
102,Michael Mann,True,0.630673,220.905521,0.627573,12,117.4,11.84,9.78,0.99,0.667,0.75,1.0,1.75,0,1,1,4,3,3,0.25,0.25,0.0,2,0.166667,89.2,88.6,Heat → The Insider,85.3,The Last of the Mohicans → Heat → The Insider,78.7,The Last of the Mohicans → Heat → The Insider → Ali → Collateral,0.693297,0.454096,0.852043,0.480744
103,Chloe Zhao,True,0.626995,220.645002,0.626832,5,80.9,8.16,16.18,1.63,0.8,0.8,1.2,2.0,0,0,2,2,0,1,0.2,0.0,0.0,2,0.4,86.4,80.0,The Rider → Nomadland,75.7,Songs My Brothers Taught Me → The Rider → Nomadland,71.2,Songs My Brothers Taught Me → The Rider → Nomadland → Eternals → Hamnet,0.527862,0.922013,0.301232,0.814127
104,Preston Sturges,True,0.618777,220.062211,0.625177,11,126.6,12.76,11.51,1.16,0.7,0.727,0.9,1.627,0,0,2,5,1,3,0.272727,0.090909,0.0,2,0.181818,85.7,84.2,Sullivan's Travels → The Lady Eve,80.7,Sullivan's Travels → The Lady Eve → The Palm Beach Story,78.9,Sullivan's Travels → The Lady Eve → The Palm Beach Story → The Miracle of Morgan's Creek → Hail the Conquering Hero,0.730436,0.58058,0.688478,0.411909
105,Josh Cooley,True,0.603265,218.959923,0.622045,2,46.6,4.7,23.3,2.35,1.0,1.0,1.0,2.0,0,0,0,2,0,0,0.0,0.0,0.0,0,0.0,79.1,78.3,Toy Story 4 → Transformers One,,,,,0.332909,1.442571,-0.235029,1.007532
106,Christopher McQuarrie,True,0.598666,218.632615,0.621115,6,87.6,8.83,14.6,1.47,0.667,0.667,1.0,1.667,0,0,2,2,0,2,0.333333,0.0,0.0,2,0.333333,87.2,84.4,Mission: Impossible - Fallout → Mission: Impossible - Dead Reckoning,82.5,Mission: Impossible - Rogue Nation → Mission: Impossible - Fallout → Mission: Impossible - Dead Reckoning,73.7,Jack Reacher → Mission: Impossible - Rogue Nation → Mission: Impossible - Fallout → Mission: Impossible - Dead Reckoning → Mission: Impossible - The Final Reckoning,0.560408,0.806496,0.58547,0.41276
107,George Stevens,True,0.597313,218.536262,0.620842,23,183.6,18.51,7.98,0.8,0.6,0.652,0.85,1.502,0,0,5,7,3,8,0.347826,0.130435,0.0,5,0.217391,85.1,83.8,The More the Merrier → I Remember Mama,83.3,The More the Merrier → I Remember Mama → A Place in the Sun,79.4,The Talk of the Town → Woman of the Year → The More the Merrier → I Remember Mama → A Place in the Sun,0.937163,0.322494,0.771905,0.212822
108,Ben Affleck,True,0.593993,218.299769,0.62017,5,78.4,7.9,15.68,1.58,0.8,0.8,1.0,1.8,0,0,1,3,0,1,0.2,0.0,0.0,1,0.2,82.6,80.2,The Town → Argo,79.6,Gone Baby Gone → The Town → Argo,70.7,Gone Baby Gone → The Town → Argo → Live by Night → Air,0.514874,0.885457,0.352417,0.650312
109,Vittorio De Sica,True,0.586092,217.736398,0.618569,27,169.5,17.09,6.28,0.63,0.52,0.556,0.84,1.396,0,3,2,8,2,12,0.444444,0.074074,0.0,5,0.185185,93.7,91.4,Shoeshine → Bicycle Thieves,88.5,Bicycle Thieves → Miracle in Milan → Umberto D.,80.1,The Gates of Heaven → Shoeshine → Bicycle Thieves → Miracle in Milan → Umberto D.,0.88951,0.198204,1.039841,0.048637
110,George Lucas,True,0.582302,217.465897,0.617801,6,80.5,8.12,13.42,1.35,0.6,0.667,1.4,2.067,1,0,1,1,1,2,0.333333,0.166667,0.166667,2,0.333333,94.4,87.9,American Graffiti → Star Wars,78.7,THX 1138 → American Graffiti → Star Wars,70.0,American Graffiti → Star Wars → Star Wars: Episode 1 - The Phantom Menace  → Star Wars: Episode 2 - Attack of the Clones → Star Wars: Episode 3 - Revenge of the Sith,0.525877,0.720224,0.437449,0.6756
111,F.W. Murnau,True,0.576659,217.062896,0.616656,12,113.6,11.45,9.47,0.95,0.6,0.667,1.2,1.867,0,2,2,2,2,4,0.333333,0.166667,0.0,4,0.333333,90.0,78.4,City Girl → Tabu: A Story of the South Seas,81.8,The Last Laugh → Tartuffe → Faust,75.4,The Last Laugh → Tartuffe → Faust → Sunrise → City Girl,0.677119,0.431431,0.653234,0.511785
112,Rian Johnson,True,0.571642,216.704266,0.615637,7,102.6,10.34,14.66,1.48,0.714,0.714,0.857,1.571,0,0,1,4,0,2,0.285714,0.0,0.0,1,0.142857,86.6,77.6,Knives Out → Glass Onion,77.6,Knives Out → Glass Onion → Wake Up Dead Man,73.0,Looper → Star Wars: The Last Jedi → Knives Out → Glass Onion → Wake Up Dead Man,0.629501,0.810883,0.41662,0.379579
113,Ernst Lubitsch,True,0.567926,216.438492,0.614882,36,251.7,25.38,6.99,0.7,0.5,0.583,0.7,1.283,0,2,2,11,6,15,0.416667,0.166667,0.0,4,0.111111,92.8,87.6,Ninotchka → The Shop Around the Corner,79.7,Bluebeard's Eighth Wife → Ninotchka → The Shop Around the Corner,77.6,Ninotchka → The Shop Around the Corner → That Uncertain Feeling → To Be or Not to Be → Heaven Can Wait,1.145396,0.250114,0.697723,-0.063259
114,Steve McQueen,True,0.564166,216.169413,0.614118,5,65.0,6.55,13.0,1.31,0.75,0.8,1.25,2.05,0,1,0,2,1,1,0.2,0.2,0.0,1,0.2,91.7,81.0,Shame → 12 Years a Slave,80.4,Hunger → Shame → 12 Years a Slave,68.0,Hunger → Shame → 12 Years a Slave → Widows → Blitz,0.443702,0.689517,0.389322,0.80673
115,Terrence Malick,True,0.551983,215.296433,0.611638,9,89.3,9.0,9.92,1.0,0.625,0.667,1.0,1.667,0,0,3,2,1,3,0.333333,0.111111,0.0,3,0.333333,86.8,86.8,Badlands → Days of Heaven,85.0,Badlands → Days of Heaven → The Thin Red Line,77.1,Badlands → Days of Heaven → The Thin Red Line → The New World → The Tree of Life,0.568467,0.464332,0.763724,0.372145
116,J.A. Bayona,True,0.536725,214.200904,0.608525,5,73.6,7.42,14.72,1.48,0.8,0.8,1.0,1.8,0,0,1,3,0,1,0.2,0.0,0.0,1,0.2,84.6,75.6,The Impossible → A Monster Calls,75.4,The Orphanage → The Impossible → A Monster Calls,69.7,The Orphanage → The Impossible → A Monster Calls → Jurassic World: Fallen Kingdom → Society of the Snow,0.490321,0.81527,0.222995,0.650312
117,Destin Daniel Cretton,True,0.525745,213.411048,0.606281,5,67.3,6.79,13.46,1.36,0.75,0.8,1.25,2.05,0,1,0,2,1,1,0.2,0.2,0.0,1,0.2,89.6,73.6,Just Mercy → Shang-Chi and the Legend of the Ten Rings,73.5,Short Term 12 → The Glass Castle → Just Mercy,68.5,I Am Not a Hipster → Short Term 12 → The Glass Castle → Just Mercy → Shang-Chi and the Legend of the Ten Rings,0.456857,0.723148,0.186218,0.80673
118,Jean Renoir,True,0.522973,213.211497,0.605714,29,223.4,22.52,7.7,0.78,0.5,0.621,0.636,1.257,0,1,1,9,7,11,0.37931,0.241379,0.0,2,0.068966,90.8,82.1,The Lower Depths → Grand Illusion,76.2,The Lower Depths → Grand Illusion → La Marseillaise,77.8,The Lower Depths → Grand Illusion → La Marseillaise → The Human Beast → The Rules of the Game,1.062635,0.302023,0.582352,-0.084555
119,Robert Zemeckis,True,0.521021,213.070865,0.605315,22,131.8,13.29,5.99,0.6,0.556,0.636,0.889,1.525,0,2,2,6,4,8,0.363636,0.181818,0.0,4,0.181818,93.6,89.6,Back to the Future → Who Framed Roger Rabbit,84.9,Back to the Future → Who Framed Roger Rabbit → Back to the Future Part II,77.6,Romancing the Stone → Back to the Future → Who Framed Roger Rabbit → Back to the Future Part II → Back to the Future Part III,0.751225,0.177002,0.854323,0.189111
120,John Huston,True,0.509778,212.260396,0.603012,40,182.0,18.35,4.55,0.46,0.516,0.625,0.774,1.399,1,0,5,10,9,15,0.375,0.225,0.025,6,0.15,94.9,86.6,Key Largo → The Treasure of the Sierra Madre,80.2,In This Our Life → Key Largo → The Treasure of the Sierra Madre,79.9,Key Largo → The Treasure of the Sierra Madre → We Were Strangers → The Asphalt Jungle → The African Queen,0.931887,0.07172,0.811348,0.047227
121,James Mangold,True,0.497772,211.393502,0.60055,13,135.7,13.68,10.44,1.05,0.6,0.692,0.9,1.592,0,0,3,3,3,4,0.307692,0.230769,0.0,3,0.230769,88.6,88.4,Logan → Ford v Ferrari,77.0,The Wolverine → Logan → Ford v Ferrari,70.5,The Wolverine → Logan → Ford v Ferrari → Indiana Jones and the Dial of Destiny → A Complete Unknown,0.766259,0.50235,0.339997,0.286539
122,Tim Burton,True,0.495223,211.209302,0.600026,20,149.9,15.11,7.5,0.76,0.625,0.7,0.75,1.45,0,0,2,8,4,6,0.3,0.2,0.0,2,0.1,83.6,78.7,Batman → Edward Scissorhands,78.9,Edward Scissorhands → Batman Returns → Ed Wood,77.1,Beetlejuice → Batman → Edward Scissorhands → Batman Returns → Ed Wood,0.819627,0.287401,0.554416,0.194405
123,Carol Reed,True,0.490646,210.878321,0.599086,18,130.3,13.14,7.24,0.73,0.583,0.722,0.75,1.472,0,1,0,6,6,5,0.277778,0.333333,0.0,1,0.055556,91.7,84.3,The Fallen Idol → The Third Man,82.6,Odd Man Out → The Fallen Idol → The Third Man,74.4,Night Train to Munich → The Way Ahead → Odd Man Out → The Fallen Idol → The Third Man,0.745384,0.268392,0.662283,0.17181
124,Tom Hooper,True,0.485939,210.537786,0.598119,7,58.6,5.91,8.37,0.84,0.8,0.857,1.0,1.857,0,0,1,3,2,1,0.142857,0.285714,0.0,1,0.142857,83.6,81.3,The Damned United → The King's Speech,80.7,Longford → The Damned United → The King's Speech,75.3,Longford → The Damned United → The King's Speech → Les Miserables → The Danish Girl,0.407394,0.351008,0.546275,0.696999
125,Frank Darabont,True,0.484622,210.442469,0.597848,5,62.3,6.28,12.46,1.26,0.5,0.6,1.5,2.1,1,0,1,0,1,2,0.4,0.2,0.2,2,0.4,94.6,90.5,The Shawshank Redemption  → The Green Mile,76.3,Buried Alive → The Shawshank Redemption  → The Green Mile,67.5,Buried Alive → The Shawshank Redemption  → The Green Mile → The Majestic → The Mist,0.428611,0.650036,0.289376,0.605927
126,King Vidor,True,0.470652,209.430462,0.594973,32,183.0,18.45,5.72,0.58,0.5,0.656,0.636,1.293,0,1,1,9,10,11,0.34375,0.3125,0.0,2,0.0625,90.7,82.7,Show People → The Crowd,79.8,Show People → The Crowd → The Patsy,76.7,The Big Parade → Bardelys the Magnificent → La Boheme → Show People → The Crowd,0.935187,0.157261,0.647178,-0.055068
