Rank,Director,Eligible,Strength,Expected Wins,Expected Win %,PA,WAR,Scaled WAR,WAR/PA,Scaled WAR/PA,BA,OBP,SLG,OPS,HR,3B,2B,1B,BB,OUTS,Out Rate,BB Rate,HR Rate,XBH,XBH Rate,Best Top 2 Overall Score,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Career_Value,Rate_Quality,Peak,Profile
15,Masaki Kobayashi,True,1.406328,270.724934,0.769105,18,322.7,32.54,17.93,1.81,0.846,0.889,2.0,2.889,3,3,0,5,5,2,0.111111,0.277778,0.166667,6,0.333333,99.2,98.2,The Human Condition II: Road to Eternity → The Human Condition III: A Soldier's Prayer,96.3,The Human Condition I: No Greater Love → The Human Condition II: Road to Eternity → The Human Condition III: A Soldier's Prayer,91.7,The Human Condition I: No Greater Love → The Human Condition II: Road to Eternity → The Human Condition III: A Soldier's Prayer → The Inheritance → Harakiri,1.334093,1.049959,1.705025,1.58677
16,David Lean,True,1.402034,270.483675,0.76842,15,333.9,33.67,22.26,2.24,1.0,1.0,1.846,2.846,1,2,4,6,2,0,0.0,0.133333,0.066667,7,0.466667,95.5,93.3,The Bridge on the River Kwai → Lawrence of Arabia,89.4,The Bridge on the River Kwai → Lawrence of Arabia → Doctor Zhivago,85.0,Hobson's Choice → Summertime → The Bridge on the River Kwai → Lawrence of Arabia → Doctor Zhivago,1.361895,1.366534,1.24695,1.700472
17,Paul Thomas Anderson,True,1.333519,266.575509,0.757317,10,246.3,24.83,24.63,2.48,1.0,1.0,1.778,2.778,0,2,3,4,1,0,0.0,0.1,0.0,5,0.5,93.7,88.0,Boogie Nights → Magnolia,86.2,Magnolia → Punch Drunk Love → There Will Be Blood,84.6,Boogie Nights → Magnolia → Punch Drunk Love → There Will Be Blood → The Master,1.129857,1.53981,1.122617,1.644774
18,Edward Yang,True,1.314717,265.483853,0.754215,9,211.9,21.36,23.54,2.37,0.875,0.889,2.0,2.889,2,0,3,2,1,1,0.111111,0.111111,0.222222,5,0.555556,95.9,90.9,The Terrorizers → A Brighter Summer Day,88.1,Taipei Story → The Terrorizers → A Brighter Summer Day,86.8,The Terrorizers → A Brighter Summer Day → A Confucian Confusion → Mahjong → Yi Yi,1.027576,1.460118,1.273807,1.614814
19,Federico Fellini,True,1.291759,264.139884,0.750397,23,420.2,42.37,18.27,1.84,0.889,0.913,1.5,2.413,1,3,2,10,5,2,0.086957,0.217391,0.043478,6,0.26087,95.2,94.1,Nights of Cabiria → La Dolce Vita,89.4,The Swindle → Nights of Cabiria → La Dolce Vita,84.5,The Swindle → Nights of Cabiria → La Dolce Vita → Boccaccio '70 → 8 1/2,1.561948,1.074817,1.227105,1.238471
20,Wes Anderson,True,1.278662,263.367774,0.748204,13,276.2,27.85,21.25,2.14,1.0,1.0,1.636,2.636,0,1,5,5,2,0,0.0,0.153846,0.0,6,0.461538,90.6,88.3,Moonrise Kingdom → The Grand Budapest Hotel,88.4,Fantastic Mr. Fox → Moonrise Kingdom → The Grand Budapest Hotel,84.4,The Darjeeling Limited → Fantastic Mr. Fox → Moonrise Kingdom → The Grand Budapest Hotel → The Isle of Dogs,1.213186,1.292691,1.143362,1.528465
21,Denis Villenueve,True,1.277083,263.274423,0.747939,11,239.3,24.13,21.75,2.19,0.889,0.909,1.889,2.798,0,2,5,1,2,1,0.090909,0.181818,0.0,7,0.636364,91.8,87.5,Dune → Dune: Part Two,87.4,Blade Runner 2049 → Dune → Dune: Part Two,86.7,Sicario → Arrival → Blade Runner 2049 → Dune → Dune: Part Two,1.10983,1.329247,1.204237,1.553816
22,Steven Spielberg,True,1.268694,262.777484,0.746527,34,585.5,59.03,17.22,1.74,0.806,0.824,1.387,2.211,2,2,8,13,3,6,0.176471,0.088235,0.058824,12,0.352941,98.1,92.6,Jurassic Park → Schindler’s List,83.7,Raiders of the Lost Ark → E.T. the Extra-Terrestrial → Indiana Jones and the Temple of Doom,81.8,Raiders of the Lost Ark → E.T. the Extra-Terrestrial → Indiana Jones and the Temple of Doom → The Color Purple → Empire of the Sun,1.894278,0.99805,1.009388,0.992755
23,Bong Joon Ho,True,1.246654,261.464451,0.742797,8,182.7,18.42,22.84,2.3,1.0,1.0,2.0,3.0,1,1,1,3,2,0,0.0,0.25,0.125,3,0.375,97.1,85.7,Okja → Parasite,84.3,Memories of Murder → The Host → Mother,81.2,The Host → Mother → Snowpiercer → Okja → Parasite,0.934198,1.408939,0.995353,1.826609
24,Fritz Lang,True,1.234485,260.734805,0.740724,39,520.5,52.48,13.35,1.35,0.75,0.821,1.321,2.142,2,2,6,11,11,7,0.179487,0.282051,0.051282,10,0.25641,94.6,93.2,Die Nibelungen: Siegfried → Metropolis,91.2,Die Nibelungen: Kriemhild's Revenge → Die Nibelungen: Siegfried → Metropolis,88.2,"Dr. Mabuse, the Gambler → Die Nibelungen: Kriemhild's Revenge → Die Nibelungen: Siegfried → Metropolis → Spies",1.770054,0.715106,1.393102,0.882085
